,,,Total,,,,,Até cinco minutos,,,,,De seis minutos até quinze minutos,,,,,Mais de quinze minutos até meia hora,,,,,Mais de meia hora até uma hora,,,,,Mais de uma hora até duas horas,,,,,Mais de duas horas até quatro horas,,,,,Mais de quatro horas,,,,
,,,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo
,,Preta,310,258,20,3,29,56,45,-,3,8,86,71,4,-,11,107,87,16,-,4,29,29,-,-,-,22,16,-,-,6,2,2,-,-,-,2,2,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,1124,772,82,118,151,212,108,25,16,63,372,216,47,48,62,264,228,3,25,9,196,170,3,23,-,68,44,5,7,12,-,-,-,-,-,5,-,-,-,5
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Imperatriz,Total,Total,362415,97407,62044,145554,57410,54208,11417,8105,22579,12107,120183,25323,19430,52651,22779,114050,34077,20904,44799,14270,43086,15097,7771,15622,4595,17995,6476,3290,5637,2591,4995,2035,955,1483,522,4316,1662,921,1454,280
,,Branca,84493,18045,12648,35116,18684,13724,2309,1682,5618,4115,29306,4767,4085,13040,7414,25693,6373,4118,10481,4721,8791,2485,1524,3509,1273,4110,1161,683,1465,801,991,301,175,290,225,919,314,153,387,64
,,Preta,42269,14213,7041,15375,5640,5953,1607,915,2335,1097,13313,3676,2186,5302,2150,13514,4881,2388,4826,1419,5542,2250,870,1872,550,2199,1025,348,568,257,724,333,185,163,43,626,267,107,183,69
,,Amarela,556,77,95,276,109,66,13,-,22,31,166,20,22,88,37,228,18,37,131,41,57,13,21,23,-,35,13,12,10,-,-,-,-,-,-,3,-,3,-,-
,,Parda,231814,63562,41632,93843,32777,33807,7261,5378,14350,6819,76517,16473,12968,33959,13116,73798,22434,14227,29099,8037,28129,10008,5237,10134,2751,11467,4181,2204,3553,1528,3240,1381,589,1021,250,2745,1078,637,883,146
,,Indígena,3283,1511,628,943,200,657,228,130,254,46,881,387,169,261,64,817,371,133,261,53,566,341,119,84,22,184,95,43,41,5,40,20,6,9,5,24,2,21,1,-
,10 a 17 anos,Total,8757,3904,4620,233,-,1762,832,901,28,-,3026,1253,1725,49,-,2779,1172,1519,87,-,774,408,324,43,-,288,150,121,17,-,30,5,19,5,-,27,22,1,4,-
,,Branca,1696,647,984,65,-,394,178,216,-,-,610,201,396,13,-,515,192,291,32,-,101,31,66,4,-,53,25,16,12,-,-,-,-,-,-,4,-,-,4,-
,,Preta,735,288,432,15,-,131,69,52,10,-,238,67,171,-,-,249,93,156,-,-,64,30,34,-,-,37,14,18,5,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,11,-,11,-,-,-,-,-,-,-,-,-,-,-,-,11,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,6148,2824,3172,152,-,1225,574,633,18,-,2099,919,1144,36,-,1975,863,1057,55,-,584,325,221,38,-,178,91,87,-,-,29,4,19,5,-,23,22,1,-,-
,,Indígena,167,145,21,1,-,12,12,-,-,-,79,65,14,-,-,29,24,5,-,-,25,21,3,1,-,19,19,-,-,-,1,1,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,346009,88882,56745,144079,56302,51264,9929,7106,22341,11889,114791,22912,17430,52101,22349,109037,31419,19227,44450,13942,41351,13991,7382,15425,4554,17155,5961,3121,5568,2506,4882,1965,936,1463,517,4253,1624,920,1428,280
,,Branca,80252,16093,11377,34588,18194,12892,1941,1412,5522,4018,27835,4167,3565,12872,7231,24458,5755,3786,10327,4590,8429,2297,1423,3451,1259,3886,1056,646,1443,741,968,292,175,281,220,915,314,153,383,64
,,Preta,40336,13017,6537,15254,5528,5708,1456,863,2325,1064,12693,3367,1993,5248,2085,12900,4503,2189,4805,1403,5279,2049,828,1852,550,2078,938,330,552,257,701,310,185,163,43,626,267,107,183,69
,,Amarela,546,77,85,276,109,66,13,-,22,31,166,20,22,88,37,218,18,27,131,41,57,13,21,23,-,35,13,12,10,-,-,-,-,-,-,3,-,3,-,-
,,Parda,221864,58432,38142,93019,32271,31974,6325,4701,14218,6730,73321,15063,11695,33632,12932,70691,20813,13097,28925,7855,27082,9348,4995,10016,2723,10993,3878,2089,3522,1503,3173,1344,570,1010,250,2685,1041,636,862,146
,,Indígena,3012,1264,605,942,200,624,195,130,254,46,775,295,155,261,64,772,330,128,261,53,504,284,115,83,22,163,75,43,41,5,39,19,6,9,5,24,2,21,1,-
,65 anos ou mais,Total,7650,4622,679,1241,1108,1182,656,99,210,218,2366,1159,276,502,430,2234,1486,157,262,329,961,699,66,155,42,552,366,49,53,85,83,64,-,14,5,36,15,-,21,-
,,Branca,2545,1305,287,463,490,438,190,54,96,97,862,399,125,156,183,720,425,42,122,131,260,157,36,54,14,171,80,21,10,60,23,9,-,9,5,-,-,-,-,-
,,Preta,1198,908,72,106,112,114,82,-,-,32,381,241,21,54,64,365,286,43,20,16,199,171,8,20,-,84,73,-,11,-,22,22,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,3803,2306,318,672,506,609,362,44,114,88,1097,492,130,292,183,1132,758,73,120,182,464,335,21,80,28,296,212,28,31,25,38,32,-,6,-,36,15,-,21,-
,,Indígena,104,103,1,-,-,21,21,-,-,-,27,27,-,-,-,17,17,-,-,-,37,36,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Teresina,Total,Total,498437,112520,72349,190960,122608,54613,11450,7971,21056,14135,126280,26080,17146,46573,36481,180399,40811,25556,69529,44504,91349,21672,14392,37246,18038,30982,8318,4841,11521,6303,4608,1353,591,1461,1202,4028,1328,822,1044,834
,,Branca,106484,16095,12268,39304,38817,11877,1985,1217,4625,4050,28068,3891,2880,9374,11923,39942,5659,4502,15050,14730,17760,2713,2390,7213,5444,5551,1134,750,1991,1676,1007,283,138,227,359,936,213,175,232,316
,,Preta,78983,22689,12569,29775,13949,7106,2040,1323,2446,1297,18296,5001,2894,6570,3831,29105,8508,4594,10828,5175,16332,4592,2493,6902,2344,5628,1677,881,2178,892,713,206,52,338,117,588,188,152,130,117
,,Amarela,460,127,31,148,154,96,7,-,23,65,107,63,2,11,31,120,37,29,54,-,99,-,-,41,58,38,19,-,19,-,-,-,-,-,-,-,-,-,-,-
,,Parda,312085,73465,47421,121626,69574,35490,7406,5399,13963,8722,79718,17100,11361,30603,20654,111088,26559,16431,43550,24548,57090,14319,9509,23090,10171,19706,5475,3210,7287,3735,2888,865,401,895,726,2484,927,475,682,401
,,Indígena,426,145,60,108,113,43,12,32,-,-,92,25,9,16,42,144,47,-,47,50,68,47,-,-,21,59,14,-,45,-,-,-,-,-,-,20,-,20,-,-
,10 a 17 anos,Total,5144,1634,3259,250,-,960,372,540,48,-,1600,650,917,33,-,1639,419,1103,116,-,592,143,427,22,-,239,20,193,26,-,20,20,-,-,-,37,-,31,6,-
,,Branca,961,277,631,53,-,162,48,114,-,-,202,61,134,8,-,417,148,229,40,-,112,7,105,-,-,29,4,25,-,-,9,9,-,-,-,30,-,24,6,-
,,Preta,795,219,525,50,-,79,23,30,26,-,320,148,168,3,-,231,34,197,-,-,63,11,51,-,-,73,-,53,20,-,4,4,-,-,-,-,-,-,-,-
,,Amarela,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,3382,1137,2098,147,-,720,301,397,21,-,1077,441,615,22,-,986,237,672,77,-,418,125,271,22,-,137,16,116,6,-,8,8,-,-,-,6,-,6,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,478985,104460,67706,187918,118901,52262,10359,7308,20754,13841,120526,23855,15821,45657,35193,173536,37917,23980,68527,43113,88844,20728,13770,36765,17581,29591,7717,4530,11255,6089,4464,1235,572,1455,1202,3813,1240,763,1015,795
,,Branca,101719,14715,11231,38400,37373,11262,1731,1085,4481,3965,26879,3580,2698,9079,11522,37917,5086,4022,14782,14027,17280,2567,2241,7108,5364,5196,1060,680,1911,1545,992,274,138,221,359,886,213,151,226,297
,,Preta,76090,21155,11960,29430,13545,6876,1929,1264,2385,1297,17460,4551,2726,6503,3681,28132,7984,4371,10757,5019,15878,4337,2442,6830,2269,5361,1542,829,2121,870,665,158,52,338,117,560,188,124,130,117
,,Amarela,455,127,26,148,154,96,7,-,23,65,107,63,2,11,31,115,37,24,54,-,99,-,-,41,58,38,19,-,19,-,-,-,-,-,-,-,-,-,-,-
,,Parda,300313,68335,44429,119832,67717,33985,6679,4927,13865,8514,76006,15653,10386,30050,19917,107229,24762,15563,42887,24017,55519,13777,9087,22785,9870,18937,5083,3021,7158,3675,2807,803,382,895,726,2347,839,468,659,381
,,Indígena,408,127,60,108,113,43,12,32,-,-,74,7,9,16,42,144,47,-,47,50,68,47,-,-,21,59,14,-,45,-,-,-,-,-,-,20,-,20,-,-
,65 anos ou mais,Total,14309,6426,1384,2792,3706,1390,719,122,254,294,4155,1576,408,883,1287,5224,2475,473,885,1391,1913,801,195,460,457,1152,581,118,240,214,123,98,19,6,-,178,88,28,23,39
,,Branca,3803,1102,406,850,1445,453,206,18,144,85,987,250,49,288,401,1608,425,251,228,704,368,140,44,104,80,325,69,45,80,131,6,-,-,6,-,20,-,-,-,20
,,Preta,2098,1315,83,295,404,152,88,29,34,-,516,302,-,64,150,743,490,26,70,156,392,244,-,72,76,194,135,-,37,22,44,44,-,-,-,28,-,28,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,8390,3992,895,1647,1857,785,425,75,76,209,2634,1006,360,532,737,2873,1559,196,587,531,1153,418,151,283,301,632,376,73,123,60,73,54,19,-,-,131,88,-,23,20
,,Indígena,18,18,-,-,-,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Parnaíba,Total,Total,159688,56173,24805,50573,28137,26848,7398,3410,9722,6317,54379,15672,7964,19047,11696,51772,21540,8638,14641,6952,15472,6853,2788,3951,1879,5157,2246,869,1282,760,1180,446,212,327,195,2167,782,465,770,150
,,Branca,41935,11654,6019,14024,10237,8051,1822,962,2821,2447,14629,3239,2035,5266,4088,12578,4099,1933,3973,2573,3687,1422,658,985,622,1416,581,187,382,267,410,116,58,126,111,545,136,84,256,68
,,Preta,15298,6585,2358,4578,1778,2243,911,268,754,310,5141,1940,704,1668,829,5116,2375,790,1535,417,1719,816,316,428,159,524,258,175,64,26,103,48,17,28,11,187,66,55,56,10
,,Amarela,212,78,28,50,56,47,21,-,11,16,82,16,17,20,30,37,18,-,19,-,1,1,-,-,-,28,17,11,-,-,-,-,-,-,-,6,6,-,-,-
,,Parda,101843,37722,16296,31832,15993,16443,4630,2146,6137,3529,34408,10441,5177,12073,6717,33882,14977,5894,9064,3946,10042,4609,1812,2530,1091,3170,1386,481,836,467,655,282,138,161,74,1428,574,325,458,71
,,Indígena,399,134,104,89,72,65,15,34,-,16,118,35,31,19,32,158,71,21,50,16,23,5,3,7,7,20,4,16,-,-,12,-,-,12,-,-,-,-,-,-
,10 a 17 anos,Total,2342,1126,1127,89,-,522,255,224,43,-,836,387,428,20,-,716,354,348,15,-,183,86,86,11,-,41,24,18,-,-,3,3,-,-,-,4,-,4,-,-
,,Branca,650,276,358,17,-,144,41,92,11,-,274,120,148,6,-,169,65,104,-,-,40,26,14,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,230,110,110,11,-,14,-,7,7,-,99,57,42,-,-,58,29,26,4,-,32,17,15,-,-,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,1462,741,660,61,-,364,214,125,25,-,463,210,239,14,-,488,260,218,11,-,111,42,57,11,-,17,8,9,-,-,3,3,-,-,-,4,-,4,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,153523,52586,23438,49894,27605,25679,6762,3141,9530,6245,52066,14485,7405,18793,11383,49890,20328,8258,14463,6841,14942,6509,2670,3911,1852,4998,2114,851,1282,752,1177,443,212,327,195,2152,772,461,770,150
,,Branca,40093,10726,5586,13758,10023,7604,1645,842,2732,2384,13880,2911,1853,5163,3953,12102,3812,1826,3905,2559,3572,1339,635,979,618,1374,539,187,382,267,410,116,58,126,111,545,136,84,256,68
,,Preta,14743,6230,2242,4512,1758,2189,888,254,738,310,4928,1787,662,1659,820,4942,2260,764,1501,417,1662,790,301,422,149,505,248,166,64,26,103,48,17,28,11,176,55,55,56,10
,,Amarela,210,76,28,50,56,44,18,-,11,16,82,16,17,20,30,37,18,-,19,-,1,1,-,-,-,28,17,11,-,-,-,-,-,-,-,6,6,-,-,-
,,Parda,98079,35420,15478,31485,15696,15777,4197,2011,6050,3519,33058,9735,4842,11931,6549,32651,14167,5647,8989,3849,9684,4373,1732,2502,1078,3072,1307,472,836,458,652,279,138,161,74,1424,574,321,458,71
,,Indígena,399,134,104,89,72,65,15,34,-,16,118,35,31,19,32,158,71,21,50,16,23,5,3,7,7,20,4,16,-,-,12,-,-,12,-,-,-,-,-,-
,65 anos ou mais,Total,3823,2461,240,590,532,648,381,45,149,73,1476,800,131,234,312,1166,859,32,164,111,347,258,32,30,27,118,109,-,-,9,-,-,-,-,-,11,11,-,-,-
,,Branca,1192,653,75,249,215,304,135,28,78,62,475,208,35,97,135,307,222,3,68,14,75,56,9,6,4,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,326,245,7,55,20,39,23,7,9,-,114,95,-,9,10,116,86,-,30,-,25,8,-,7,10,7,7,-,-,-,-,-,-,-,-,11,11,-,-,-
,,Amarela,3,3,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,2302,1561,158,285,297,302,219,10,62,10,887,496,96,128,168,743,551,29,65,98,247,194,23,17,13,81,72,-,-,9,-,-,-,-,-,-,-,-,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Picos,Total,Total,112369,35442,17041,36166,23719,23783,5567,3571,8426,6218,38609,11193,5581,12781,9054,32716,12442,5226,9706,5341,10754,3826,1609,3239,2080,3100,1065,433,936,666,899,296,134,361,108,1281,465,300,396,120
,,Branca,33296,8823,4258,10993,9221,7560,1641,920,2722,2276,11577,2764,1487,3795,3532,9156,3018,1153,2867,2117,3061,849,377,1006,829,984,233,165,287,298,330,74,47,162,47,316,104,77,92,43
,,Preta,14570,5632,2387,4533,2018,3051,909,546,1029,567,4806,1907,574,1476,848,4238,1770,821,1300,348,1458,614,242,428,174,479,211,65,156,47,122,29,18,53,23,218,85,69,57,8
,,Amarela,65,29,12,20,3,17,7,6,-,3,30,4,6,20,-,16,16,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,64315,20880,10384,20583,12468,13140,3010,2099,4659,3372,22166,6506,3514,7479,4666,19252,7594,3253,5529,2876,6219,2346,991,1805,1077,1638,621,203,493,321,447,193,70,146,38,738,268,154,246,69
,,Indígena,123,78,-,36,8,16,-,-,16,-,30,12,-,10,8,54,43,-,10,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-
,10 a 17 anos,Total,2067,990,1019,58,-,608,237,354,18,-,666,302,333,30,-,577,299,271,7,-,157,128,26,3,-,29,17,13,-,-,7,-,7,-,-,-,-,-,-,-
,,Branca,502,209,277,16,-,158,71,87,-,-,188,66,108,15,-,117,52,63,2,-,28,18,10,-,-,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,276,127,149,-,-,96,51,45,-,-,77,41,36,-,-,85,28,57,-,-,4,4,-,-,-,10,3,8,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,1289,654,593,42,-,354,115,221,18,-,401,196,189,15,-,376,219,151,5,-,126,106,16,3,-,13,11,2,-,-,7,-,7,-,-,-,-,-,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,108016,32919,15851,35844,23403,22651,4999,3202,8365,6085,37232,10443,5171,12655,8963,31459,11637,4912,9620,5290,10321,3511,1564,3203,2043,3015,1014,406,931,664,882,291,124,359,108,1281,465,300,396,120
,,Branca,31961,8120,3902,10872,9066,7199,1452,825,2713,2209,11074,2527,1323,3740,3485,8824,2828,1079,2821,2096,2961,792,363,997,809,964,216,162,287,298,325,69,47,162,47,316,104,77,92,43
,,Preta,14039,5283,2232,4525,1998,2888,801,500,1029,558,4651,1800,538,1472,841,4075,1677,757,1295,345,1439,595,242,428,174,452,192,57,156,47,122,29,18,53,23,218,85,69,57,8
,,Amarela,63,27,12,20,3,17,7,6,-,3,30,4,6,20,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,61834,19413,9704,20390,12326,12533,2740,1869,4608,3315,21450,6104,3304,7413,4629,18489,7072,3076,5493,2848,5906,2108,960,1778,1061,1599,606,187,487,318,435,193,60,144,38,738,268,154,246,69
,,Indígena,119,75,-,36,8,16,-,-,16,-,27,8,-,10,8,54,43,-,10,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-
,65 anos ou mais,Total,2286,1533,172,264,317,523,331,15,43,133,711,448,77,96,91,680,506,43,79,51,276,187,19,34,36,56,34,14,5,3,10,5,3,2,-,-,-,-,-,-
,,Branca,833,494,79,105,155,203,118,7,10,67,315,172,56,41,47,215,138,11,45,21,72,38,4,9,20,14,14,-,-,-,5,5,-,-,-,-,-,-,-,-
,,Preta,256,221,6,8,20,67,57,-,-,10,78,66,-,4,8,78,64,6,5,3,14,14,-,-,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,1192,813,87,151,141,253,156,8,33,56,315,206,21,51,37,387,303,26,30,28,187,132,15,24,16,26,4,14,5,3,5,-,3,2,-,-,-,-,-,-
,,Indígena,3,3,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
São Raimundo Nonato,Total,Total,37906,11602,6077,12563,7664,8821,1965,1293,3216,2346,13321,3460,2082,4559,3219,9514,4024,1653,2587,1251,4041,1413,606,1432,590,1260,405,251,441,162,193,60,41,84,8,389,148,83,126,33
,,Branca,9376,2431,1267,3327,2351,2558,473,353,963,769,3284,796,367,1135,986,2117,754,318,708,336,940,261,146,330,202,237,45,40,120,32,29,17,6,6,-,116,51,19,32,13
,,Preta,5449,2122,830,1627,870,1158,323,123,459,254,1615,514,308,454,339,1617,848,235,363,171,724,294,132,211,86,163,79,13,58,13,39,13,-,18,8,96,39,12,44,-
,,Amarela,65,13,17,7,29,10,-,3,7,-,56,13,14,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,22922,7002,3942,7579,4399,5084,1169,803,1788,1324,8327,2135,1383,2959,1850,5737,2392,1100,1502,744,2377,858,327,890,303,860,282,198,263,117,125,30,36,59,-,178,58,51,49,19
,,Indígena,93,33,22,23,15,11,-,11,-,-,39,2,11,11,15,43,31,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,10 a 17 anos,Total,670,349,310,11,-,288,150,129,9,-,211,100,111,-,-,128,71,56,-,-,36,22,11,3,-,-,-,-,-,-,3,3,-,-,-,3,3,-,-,-
,,Branca,142,86,49,6,-,57,38,16,3,-,59,37,22,-,-,13,6,7,-,-,7,2,2,3,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-
,,Preta,58,30,28,-,-,13,7,5,-,-,19,12,7,-,-,24,8,16,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,470,232,233,5,-,218,105,108,5,-,132,50,82,-,-,91,57,34,-,-,27,18,9,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,36506,10820,5622,12470,7594,8375,1738,1136,3179,2323,12801,3158,1942,4521,3180,9237,3837,1579,2577,1244,3918,1356,545,1426,590,1236,402,230,441,162,190,57,41,84,8,386,145,83,126,33
,,Branca,8959,2188,1165,3288,2318,2417,399,326,947,745,3139,695,345,1118,980,2054,704,311,706,333,888,250,109,328,202,227,42,33,120,32,29,17,6,6,-,112,48,19,32,13
,,Preta,5293,2017,786,1620,870,1128,299,117,459,254,1555,477,292,447,339,1561,815,212,363,171,713,284,132,211,86,163,79,13,58,13,39,13,-,18,8,96,39,12,44,-
,,Amarela,65,13,17,7,29,10,-,3,7,-,56,13,14,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,22095,6568,3632,7532,4362,4808,1040,678,1767,1324,8013,1971,1280,2945,1817,5579,2288,1056,1495,740,2317,823,304,887,303,846,282,184,263,117,123,28,36,59,-,178,58,51,49,19
,,Indígena,93,33,22,23,15,11,-,11,-,-,39,2,11,11,15,43,31,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,65 anos ou mais,Total,729,433,145,82,69,157,77,28,29,23,309,203,29,37,39,149,116,17,10,7,87,34,50,3,-,24,3,21,-,-,-,-,-,-,-,-,-,-,-,-
,,Branca,275,157,53,32,32,83,36,11,13,23,86,64,-,17,6,50,44,-,3,3,45,9,35,-,-,11,3,7,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,97,75,15,7,-,17,17,-,-,-,41,25,9,7,-,31,25,7,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,357,201,77,42,37,57,24,17,15,-,181,114,21,13,34,68,47,10,7,3,34,16,15,3,-,14,-,14,-,-,-,-,-,-,-,-,-,-,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corrente - Bom Jesus,Total,Total,42952,12018,7262,14986,8686,8812,1687,1205,3402,2518,14358,3303,2208,5382,3465,11895,3997,2378,3856,1664,4686,1866,803,1405,612,2061,774,433,592,262,590,193,120,192,85,345,160,54,105,26
,,Branca,7078,1460,995,2532,2090,1693,237,184,700,572,2516,435,294,883,905,1584,413,316,495,361,701,239,95,250,117,367,95,64,129,78,116,24,20,44,27,60,6,18,27,10
,,Preta,7007,2108,1301,2389,1210,1341,282,300,379,381,2274,631,316,937,390,2066,699,435,617,315,821,311,123,286,101,286,98,71,112,6,109,43,25,31,11,75,45,11,20,-
,,Amarela,24,11,-,5,8,8,-,-,-,8,7,5,-,2,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-
,,Parda,28708,8379,4962,10000,5367,5745,1162,722,2304,1557,9521,2219,1598,3543,2161,8195,2856,1627,2725,986,3160,1317,581,869,393,1389,567,299,345,178,363,126,76,115,47,206,105,25,59,16
,,Indígena,135,59,4,61,11,25,6,-,20,-,39,14,-,17,9,44,22,-,19,3,4,-,4,-,-,19,14,-,5,-,-,-,-,-,-,4,4,-,-,-
,10 a 17 anos,Total,1001,532,449,20,-,188,81,107,-,-,366,189,166,11,-,326,179,145,2,-,79,54,18,6,-,33,20,13,-,-,-,-,-,-,-,3,3,-,-,-
,,Branca,182,104,78,-,-,36,19,17,-,-,94,55,39,-,-,26,6,21,-,-,19,17,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,164,104,42,17,-,30,25,5,-,-,67,32,24,11,-,61,48,13,-,-,6,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,655,324,329,2,-,123,37,85,-,-,206,102,104,-,-,239,126,111,2,-,53,37,17,-,-,31,18,13,-,-,-,-,-,-,-,3,3,-,-,-
,,Indígena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,41115,11016,6684,14853,8562,8404,1515,1057,3355,2477,13724,2970,1999,5318,3437,11366,3693,2211,3851,1611,4528,1755,776,1388,610,1986,722,411,592,262,587,190,120,192,85,329,147,51,105,26
,,Branca,6682,1313,872,2472,2024,1603,212,160,666,564,2353,370,229,859,894,1506,400,295,495,316,671,214,93,248,115,343,81,55,129,78,116,24,20,44,27,57,6,14,27,10
,,Preta,6656,1881,1209,2369,1197,1253,237,263,379,375,2173,564,293,926,390,1948,612,413,614,308,778,283,114,280,101,286,98,71,112,6,109,43,25,31,11,75,45,11,20,-
,,Amarela,24,11,-,5,8,8,-,-,-,8,7,5,-,2,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-
