,,,Total,,,,,Até cinco minutos,,,,,De seis minutos até quinze minutos,,,,,Mais de quinze minutos até meia hora,,,,,Mais de meia hora até uma hora,,,,,Mais de uma hora até duas horas,,,,,Mais de duas horas até quatro horas,,,,,Mais de quatro horas,,,,
,,,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo
,65 anos ou mais,Total,6240,3471,647,1278,844,711,381,57,135,137,1872,1000,250,353,269,1852,955,197,482,218,857,584,122,120,31,550,315,-,98,137,147,125,-,18,4,11,11,-,-,-
,,Branca,1919,919,201,386,414,300,127,13,59,102,539,258,101,37,143,445,172,65,154,53,230,165,22,43,-,271,81,-,74,116,57,39,-,18,-,-,-,-,-,-
,,Preta,703,515,91,76,21,58,39,19,-,-,147,98,31,-,17,294,192,25,76,-,197,182,15,-,-,3,3,-,-,-,4,-,-,-,4,-,-,-,-,-
,,Amarela,11,11,-,-,-,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,3580,1999,355,817,409,342,205,25,76,36,1185,643,118,315,109,1095,572,107,251,165,422,229,85,77,31,276,231,-,24,21,86,86,-,-,-,11,11,-,-,-
,,Indígena,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ji-Paraná,Total,Total,244867,62640,43698,87460,51070,46234,8191,6748,17135,14161,106887,23709,18379,40579,24220,61904,19474,13135,21240,8055,17321,6331,3176,4977,2837,6639,2553,1236,1775,1075,1639,779,348,333,179,1629,684,282,419,244
,,Branca,84089,18147,12925,29828,23188,17807,2566,2256,6167,6818,37069,7175,5261,13868,10765,19254,5361,3693,6551,3649,5682,1750,1023,1805,1105,2306,712,343,749,503,519,185,78,127,128,513,170,133,108,102
,,Preta,23807,7405,4615,7957,3830,3757,859,651,1295,952,10356,2763,1967,3758,1868,6547,2259,1401,2166,721,1912,927,361,464,160,654,287,141,158,67,198,137,39,6,15,155,66,19,39,30
,,Amarela,835,101,128,287,318,217,29,40,42,106,360,24,30,143,162,164,20,45,77,21,56,28,2,10,16,13,-,-,-,13,-,-,-,-,-,-,-,-,-,-
,,Parda,134822,36495,25822,48875,23630,24208,4672,3761,9511,6264,58599,13547,11068,22603,11381,35703,11761,7948,12342,3652,9516,3560,1757,2655,1544,3579,1504,748,847,481,906,451,224,195,35,922,419,127,265,112
,,Indígena,1314,491,208,513,103,245,65,39,120,21,503,200,52,207,44,236,73,48,103,12,156,67,33,43,13,87,50,4,21,12,17,5,6,5,1,39,29,4,6,-
,10 a 17 anos,Total,5670,1689,3807,174,-,1081,327,701,53,-,2561,737,1741,83,-,1563,446,1081,36,-,227,53,174,-,-,151,78,71,2,-,31,24,7,-,-,7,-,7,-,-
,,Branca,1451,359,1030,62,-,296,64,213,20,-,681,157,481,42,-,371,85,287,-,-,49,25,25,-,-,33,28,5,-,-,-,-,-,-,-,7,-,7,-,-
,,Preta,414,143,262,9,-,95,29,57,9,-,199,56,143,-,-,84,37,47,-,-,10,-,10,-,-,12,8,4,-,-,13,13,-,-,-,-,-,-,-,-
,,Amarela,10,-,10,-,-,5,-,5,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,3742,1157,2482,103,-,671,224,422,25,-,1646,512,1094,40,-,1105,321,747,36,-,162,25,138,-,-,105,42,62,2,-,18,11,7,-,-,-,-,-,-,-
,,Indígena,52,30,23,-,-,14,11,3,-,-,31,12,19,-,-,3,3,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,234407,58079,39315,86553,50460,44194,7396,5972,16869,13957,102460,21774,16441,40269,23976,59148,18327,11891,20988,7942,16660,5982,2930,4934,2814,6323,2380,1129,1739,1075,1541,710,332,333,166,1595,656,275,419,244
,,Branca,80692,16758,11648,29438,22848,17048,2290,2032,6050,6676,35645,6579,4683,13743,10640,18436,5030,3345,6454,3606,5493,1636,968,1788,1101,2183,654,312,714,503,492,173,78,127,114,506,170,126,108,102
,,Preta,22877,6869,4334,7890,3784,3598,798,587,1264,949,9949,2545,1818,3745,1841,6369,2153,1348,2155,712,1792,838,351,452,152,632,269,137,158,67,184,124,39,6,15,132,43,19,39,30
,,Amarela,760,91,119,287,264,192,29,35,42,86,333,24,26,143,140,142,10,45,77,10,56,28,2,10,16,13,-,-,-,13,-,-,-,-,-,-,-,-,-,-
,,Parda,128842,33909,23029,48444,23461,23126,4225,3283,9394,6225,56084,12443,9882,22449,11311,33970,11066,7103,12198,3602,9168,3418,1577,2641,1532,3408,1407,676,845,481,848,409,209,195,35,918,414,127,265,112
