Modelo,R² Teste,RMSE Teste,MAE Teste
Linear Regression,0.18020919385162448,1.0726038987358046,0.8036536882005733
Random Forest,0.3909616264221567,0.9245069450503804,0.6721074237128155
XGBoost (Baseline),0.42457388048708755,0.8986335633346593,0.6650357005772768
XGBoost (Otimizado),0.5272176345912061,0.8145513805354235,0.6068682154019674
