UF,Ano,Taxa_Abandono_Media,Taxa_Abandono_EF,Taxa_Abandono_EM,Taxa_Reprovacao_Media,Taxa_Reprovacao_EF,Taxa_Reprovacao_EM,IDHM,Taxa_Desemprego,Renda_Per_Capita,Indice_Gini_x,Taxa_Gravidez_Adolescente_x,PIB_Total_MilReais_x,Indice_Gini_y,Taxa_Gravidez_Adolescente_y,PIB_Total_MilReais_y
Alagoas,2019,1.65,1.5,1.8,3.8,4.4,3.2,0.687,13.7,704.0,0.527,21.16,58963729.0,0.527,21.16,58963729.0
Sergipe,2019,2.55,2.0,3.1,11.35,12.7,10.0,0.705,15.1,933.0,0.581,17.12,44689483.0,0.581,17.12,44689483.0
Bahia,2019,3.0,2.6,3.4,9.65,10.7,8.6,0.718,16.6,883.0,0.557,16.96,293240504.0,0.557,16.96,293240504.0
Minas Gerais,2019,1.1,0.6,1.6,6.35,5.4,7.3,0.793,9.6,1293.0,0.487,12.18,651872684.0,0.487,12.18,651872684.0
Espírito Santo,2019,0.6,0.5,0.7,6.25,7.1,5.4,0.793,10.5,1398.0,0.52,13.12,137345595.0,0.52,13.12,137345595.0
Rio de Janeiro,2019,1.2,1.0,1.4,7.65,8.1,7.2,0.809,13.8,1753.0,0.552,13.62,779927917.0,0.552,13.62,779927917.0
São Paulo,2019,0.7,0.4,1.0,3.0,2.1,3.9,0.845,11.6,1839.0,0.526,10.3,2348338000.0,0.526,10.3,2348338000.0
Paraná,2019,0.85,0.5,1.2,5.4,5.0,5.8,0.807,7.4,1554.0,0.477,12.26,466377036.0,0.477,12.26,466377036.0
Santa Catarina,2019,0.65,0.4,0.9,6.85,6.5,7.2,0.826,5.5,1678.0,0.421,10.24,323263857.0,0.421,10.24,323263857.0
Rio Grande do Sul,2019,1.3,0.9,1.7,8.9,9.4,8.4,0.801,7.3,1757.0,0.482,11.05,482464177.0,0.482,11.05,482464177.0
Mato Grosso do Sul,2019,1.9,1.1,2.7,7.300000000000001,8.3,6.3,0.777,6.7,1443.0,0.483,16.27,106943246.0,0.483,16.27,106943246.0
Mato Grosso,2019,1.45,0.6,2.3,5.949999999999999,3.7,8.2,0.779,6.5,1326.0,0.454,15.25,142122028.0,0.454,15.25,142122028.0
Goiás,2019,0.95,0.6,1.3,3.15,3.3,3.0,0.774,10.6,1256.0,0.46,13.57,208672492.0,0.46,13.57,208672492.0
Distrito Federal,2019,1.3,0.8,1.8,8.15,5.3,11.0,0.859,12.6,2513.0,0.554,10.26,273613711.0,0.554,10.26,273613711.0
Rondônia,2020,2.3,2.1,2.5,1.75,1.2,2.3,0.739,11.1,1109.0,0.439,15.59,51598741.0,0.439,15.59,51598741.0
Acre,2020,1.7000000000000002,1.8,1.6,2.4,2.0,2.8,0.746,15.7,888.0,0.515,21.81,16476371.0,0.515,21.81,16476371.0
Amazonas,2020,0.75,0.8,0.7,0.5,0.5,0.5,0.727,15.7,828.0,0.533,20.75,116019139.0,0.533,20.75,116019139.0
Roraima,2020,0.6499999999999999,0.7,0.6,0.4,0.4,0.4,0.739,14.5,950.0,0.54,17.58,16024276.0,0.54,17.58,16024276.0
Pará,2020,1.65,1.7,1.6,0.55,0.6,0.5,0.719,10.9,863.0,0.48,20.98,215935604.0,0.48,20.98,215935604.0
Amapá,2020,1.5,1.4,1.6,2.95,2.3,3.6,0.724,15.9,856.0,0.5,19.31,18469115.0,0.5,19.31,18469115.0
Tocantins,2020,1.6,1.1,2.1,1.4,1.1,1.7,0.755,11.3,1019.0,0.485,18.18,43649803.0,0.485,18.18,43649803.0
Maranhão,2020,2.6,2.3,2.9,1.05,0.9,1.2,0.699,14.8,662.0,0.482,20.91,106915962.0,0.482,20.91,106915962.0
Piauí,2020,1.8,1.6,2.0,0.6,0.7,0.5,0.708,12.3,836.0,0.474,17.22,56391257.0,0.474,17.22,56391257.0
Ceará,2020,0.75,0.9,0.6,0.15,0.2,0.1,0.755,14.4,980.0,0.544,13.9,166914536.0,0.544,13.9,166914536.0
Rio Grande do Norte,2020,1.3,1.6,1.0,0.65,0.5,0.8,0.75,15.6,1045.0,0.512,14.17,71577107.0,0.512,14.17,71577107.0
