UF,ano,Taxa_Evasao_Media,Taxa_Repetencia_Media,Taxa_Evasao_EF,Taxa_Evasao_EM,Taxa_Repetencia_EF,Taxa_Repetencia_EM
Amazonas,2021.0,3.0,1.35,2.5,3.5,1.5,1.2
Roraima,2021.0,2.25,3.05,1.5,3.0,2.4,3.7
Pará,2021.0,3.9000000000000004,3.75,3.1,4.7,3.8,3.7
Amapá,2021.0,2.8,8.2,2.1,3.5,8.1,8.3
Tocantins,2021.0,1.0,1.5,0.6,1.4,1.5,1.5
Maranhão,2021.0,3.25,1.9,2.5,4.0,2.0,1.8
Piauí,2021.0,1.5499999999999998,1.05,1.4,1.7,1.2,0.9
Ceará,2021.0,0.3,0.2,0.3,0.3,0.2,0.2
Rio Grande do Norte,2021.0,4.45,5.35,3.7,5.2,6.1,4.6
Paraíba,2021.0,1.9,1.25,1.8,2.0,1.4,1.1
Pernambuco,2021.0,0.6499999999999999,2.1500000000000004,0.6,0.7,2.2,2.1
Alagoas,2021.0,1.35,1.35,1.1,1.6,1.2,1.5
Sergipe,2021.0,1.65,0.8,1.4,1.9,0.9,0.7
Bahia,2021.0,3.8,3.45,3.3,4.3,3.7,3.2
Minas Gerais,2021.0,1.15,1.6,0.8,1.5,1.3,1.9
Espírito Santo,2021.0,0.9,2.6,0.7,1.1,2.5,2.7
Rio de Janeiro,2021.0,0.9,2.25,0.9,0.9,2.4,2.1
São Paulo,2021.0,0.8999999999999999,0.8500000000000001,0.6,1.2,0.8,0.9
Paraná,2021.0,0.4,1.8,0.2,0.6,2.1,1.5
Santa Catarina,2021.0,0.8500000000000001,4.699999999999999,0.4,1.3,3.8,5.6
Rio Grande do Sul,2021.0,2.15,1.6,1.5,2.8,1.8,1.4
Mato Grosso do Sul,2021.0,0.5,6.0,0.4,0.6,5.7,6.3
Mato Grosso,2021.0,0.75,2.55,0.4,1.1,1.0,4.1
Goiás,2021.0,0.6499999999999999,1.5,0.6,0.7,1.7,1.3
Distrito Federal,2021.0,0.1,5.25,0.1,0.1,3.9,6.6
Rondônia,2022.0,1.75,3.45,1.1,2.4,3.9,3.0
Acre,2022.0,3.8000000000000003,4.15,2.7,4.9,4.5,3.8
Amazonas,2022.0,3.3499999999999996,4.4,2.4,4.3,4.4,4.4
Roraima,2022.0,3.9000000000000004,5.25,1.9,5.9,4.3,6.2
Pará,2022.0,4.45,9.149999999999999,3.1,5.8,10.2,8.1
Amapá,2022.0,2.35,9.05,1.7,3.0,9.5,8.6
Tocantins,2022.0,1.05,3.5,0.5,1.6,3.6,3.4
Maranhão,2022.0,2.55,4.0,1.7,3.4,4.4,3.6
Piauí,2022.0,1.9500000000000002,3.75,1.3,2.6,4.9,2.6
Ceará,2022.0,0.44999999999999996,0.5,0.3,0.6,0.6,0.4
Rio Grande do Norte,2022.0,2.8,10.05,2.0,3.6,11.1,9.0
Paraíba,2022.0,3.4,5.6,2.2,4.6,5.6,5.6
Pernambuco,2022.0,1.0,4.0,0.8,1.2,4.4,3.6
Alagoas,2022.0,2.5,4.95,1.6,3.4,4.7,5.2
Sergipe,2022.0,2.55,11.3,1.7,3.4,11.0,11.6
Bahia,2022.0,4.0,8.75,2.9,5.1,8.9,8.6
Minas Gerais,2022.0,1.5499999999999998,4.3,0.8,2.3,3.5,5.1
Espírito Santo,2022.0,0.65,4.8,0.5,0.8,5.1,4.5
Rio de Janeiro,2022.0,1.2000000000000002,6.95,0.8,1.6,7.0,6.9
São Paulo,2022.0,0.8500000000000001,2.0,0.4,1.3,1.5,2.5
Paraná,2022.0,0.8500000000000001,5.15,0.4,1.3,4.4,5.9
Santa Catarina,2022.0,0.65,5.800000000000001,0.3,1.0,5.2,6.4
Rio Grande do Sul,2022.0,1.85,5.5,1.0,2.7,5.9,5.1
Mato Grosso do Sul,2022.0,1.15,7.35,0.7,1.6,8.2,6.5
Mato Grosso,2022.0,1.05,2.65,0.5,1.6,1.3,4.0
Goiás,2022.0,0.7,2.3,0.5,0.9,2.6,2.0
Distrito Federal,2022.0,1.1,6.75,0.6,1.6,4.8,8.7
